// Item Package Database
//
// Structure of Database:
// GroupID,ItemID,Rate{,Amount,Random,isAnnounced,Duration,GUID,isBound,isNamed}
IG_Classic_,5683,20,1,1	// 1x Majestic_Goat_Repl
IG_Classic_,5099,20,1,1; // Cat Hat
IG_Classic_,18640,20,1,1; // Autumn Headband
IG_Classic_,5678,20,1,1; // Headphone
//IG_Classic_,5138,20,1,1; // Magic_Eyes
IG_Classic_,5481,20,1,1; // Hermode
IG_Classic_,5139,20,1,1; // Hibiscus
IG_Classic_,5140,20,1,1; // Charming Ribbon
IG_Classic_,5142,20,1,1; // Crescent Helm
IG_Classic_,5143,20,1,1; // Kabuki Mask
IG_Classic_,5152,20,1,1; // Chinese Crown
IG_Classic_,5181,20,1,1; // Helm of Darkness
IG_Classic_,5182,20,1,1; // Puppy Hat
//IG_Classic_,5183,20,1,1; // Bird Nest Hat
IG_Classic_,5187,20,1,1; // Twin Ribbon
IG_Classic_,18589,20,1,1; // Strawberry
IG_Classic_,5363,20,1,1; // Abyss
IG_Classic_,5292,20,1,1; // Dragon Skull
//IG_Classic_,5388,20,1,1; // Snake Head
IG_Classic_,5782,20,1,1; // Legionnaire
IG_Classic_,5294,20,1,1; // Whisper
IG_Classic_,5509,20,1,1; // Sting Hat
IG_Classic_,5185,20,1,1; // Laurel Wreath
IG_Classic_,5186,20,1,1; // Geographer Band	
IG_Classic_,5467,20,1,1; // Dragon Helm
IG_Classic_,5761,20,1,1; // Sloth
IG_Classic_,5212,20,1,1; // Satellite		
//IG_Classic_,5563,20,1,1; // Dolor
IG_Classic_,5572,20,1,1; // Babe
//IG_Classic_,5561,20,1,1; // Magician Rabbit
IG_Classic_,5289,20,1,1; // Vanilmirth
IG_Classic_,5659,20,1,1; // Sleeper
IG_Classic_,5658,20,1,1; // Imp
IG_Classic_,5380,20,1,1; // Fish
IG_Classic_,5762,20,1,1; // Duneyrr
IG_Classic_,5382,20,1,1; // Bell Ribbon
IG_Classic_,5259,20,1,1; // Elephant
IG_Classic_,5414,20,1,1; // Campfire
IG_Classic_,5779,20,1,1; // Boto
IG_Classic_,18595,20,1,1; // Ancient Horn
IG_Classic_,5324,20,1,1; // Little Angel
IG_Classic_,5501,20,1,1; // Pirate

//Top
IG_Costamax1,18740,20,1,1; C_Hair_Of_The_Strong
IG_Costamax1,18741,20,1,1; C_Will_O_Wisp
IG_Costamax1,19294,20,1,1; C_CatEars_Cyber_HeadP_R
IG_Costamax1,19515,20,1,1; Yellow_Hat
IG_Costamax1,19518,20,1,1; Rainbow
IG_Costamax1,19519,20,1,1; Lightning_Cloud
IG_Costamax1,19520,20,1,1; Rain_Cloud
IG_Costamax1,19521,20,1,1; Charlie_Hat
IG_Costamax1,19522,20,1,1; Mini_Crown1
IG_Costamax1,19523,20,1,1; Donation_Ribbon
IG_Costamax1,19543,20,1,1; Oliver_Wolf_Hood
IG_Costamax1,19544,20,1,1; C_Tare_Neko_Cru
//IG_Costamax1,19573,20,1,1; C_Heart_Wing_Hairband
IG_Costamax1,19575,20,1,1; C_Rising_Black_Dragon
//IG_Costamax1,19576,20,1,1; C_Tare_Pope
//IG_Costamax1,19577,20,1,1; 10th_Anni_Poring_Hat
IG_Costamax1,19587,20,1,1; C_King_Poring_Hat
IG_Costamax1,19600,20,1,1; Drooping_Kiehl
IG_Costamax1,19601,20,1,1; Drooping_Aliot
IG_Costamax1,19602,20,1,1; C_Invisible_Cap
IG_Costamax1,19646,20,1,1; C_Ramen_Hat
